"IDATid","SNPid","SAMPLE_ID","INVENTORY_SAMPLE_NAME","SampleType","Plate","GreenIDAT","RedIDAT"
"5745896050_R01C01","WG0117613.DNAF02",587022,"NUGC-3","CellLine","WG0117613","5745896050_r01c01_grn.idat","5745896050_r01c01_red.idat"
"5745896050_R03C01","WG0117613.DNAF03",587034,"SNU-668","CellLine","WG0117613","5745896050_r03c01_grn.idat","5745896050_r03c01_red.idat"
"5745781051_R03C01","WG0117613.DNAF04",587029,"SNU-216","CellLine","WG0117613","5745781051_r03c01_grn.idat","5745781051_r03c01_red.idat"
"5745781005_R02C01","WG0117613.DNAG01",587010,"Hs 746T","CellLine","WG0117613","5745781005_r02c01_grn.idat","5745781005_r02c01_red.idat"
"5745167033_R02C01","WG0117613.DNAG02",587023,"NUGC-4","CellLine","WG0117613","5745167033_r02c01_grn.idat","5745167033_r02c01_red.idat"
"5745167023_R02C01","WG0117613.DNAG03",587035,"SNU-719","CellLine","WG0117613","5745167023_r02c01_grn.idat","5745167023_r02c01_red.idat"
"5745781005_R04C01","WG0117613.DNAH01",587011,"23132/87","CellLine","WG0117613","5745781005_r04c01_grn.idat","5745781005_r04c01_red.idat"
"5745167033_R04C01","WG0117613.DNAH02",587024,"RERF-GC-1B","CellLine","WG0117613","5745167033_r04c01_grn.idat","5745167033_r04c01_red.idat"
"5745167023_R04C01","WG0117613.DNAH03",587520,"Kato III","CellLine","WG0117613","5745167023_r04c01_grn.idat","5745167023_r04c01_red.idat"
"5745968009_R01C01","WG0117614.DNAA02",587635,"Ri-1","CellLine","WG0117614","5745968009_r01c01_grn.idat","5745968009_r01c01_red.idat"
"5745968011_R01C01","WG0117614.DNAA03",587643,"SU-DHL-10","CellLine","WG0117614","5745968011_r01c01_grn.idat","5745968011_r01c01_red.idat"
"5745976038_R01C01","WG0117614.DNAA05",587659,"Toledo","CellLine","WG0117614","5745976038_r01c01_grn.idat","5745976038_r01c01_red.idat"
"5745976044_R01C01","WG0117614.DNAA07",587676,"OAW42","CellLine","WG0117614","5745976044_r01c01_grn.idat","5745976044_r01c01_red.idat"
"5745976051_R01C01","WG0117614.DNAA08",587685,"Ovcar8","CellLine","WG0117614","5745976051_r01c01_grn.idat","5745976051_r01c01_red.idat"
"5745976053_R01C01","WG0117614.DNAA09",587693,"CFPAC","CellLine","WG0117614","5745976053_r01c01_grn.idat","5745976053_r01c01_red.idat"
"5745976055_R01C01","WG0117614.DNAA10",587702,"Panc 03.27","CellLine","WG0117614","5745976055_r01c01_grn.idat","5745976055_r01c01_red.idat"
"5745976057_R01C01","WG0117614.DNAA11",587710,"PL45","CellLine","WG0117614","5745976057_r01c01_grn.idat","5745976057_r01c01_red.idat"
"5745896053_R03C01","WG0117614.DNAB01",587628,"OCI-Ly3","CellLine","WG0117614","5745896053_r03c01_grn.idat","5745896053_r03c01_red.idat"
"5745976038_R03C01","WG0117614.DNAB05",587660,"U-698-M","CellLine","WG0117614","5745976038_r03c01_grn.idat","5745976038_r03c01_red.idat"
"5745976040_R03C01","WG0117614.DNAB06",587668,"COLO704","CellLine","WG0117614","5745976040_r03c01_grn.idat","5745976040_r03c01_red.idat"
"5745976044_R03C01","WG0117614.DNAB07",587677,"OV56","CellLine","WG0117614","5745976044_r03c01_grn.idat","5745976044_r03c01_red.idat"
"5745976051_R03C01","WG0117614.DNAB08",587686,"SKOV3","CellLine","WG0117614","5745976051_r03c01_grn.idat","5745976051_r03c01_red.idat"
"5745976053_R03C01","WG0117614.DNAB09",587695,"HPAC","CellLine","WG0117614","5745976053_r03c01_grn.idat","5745976053_r03c01_red.idat"
"5745976055_R03C01","WG0117614.DNAB10",587703,"Panc 04.03","CellLine","WG0117614","5745976055_r03c01_grn.idat","5745976055_r03c01_red.idat"
"5745976057_R03C01","WG0117614.DNAB11",587711,"PSN1","CellLine","WG0117614","5745976057_r03c01_grn.idat","5745976057_r03c01_red.idat"
"5745896053_R02C01","WG0117614.DNAC01",587629,"OCI-LY-7","CellLine","WG0117614","5745896053_r02c01_grn.idat","5745896053_r02c01_red.idat"
"5745976033_R02C01","WG0117614.DNAC04",587653,"SU-DHL-6","CellLine","WG0117614","5745976033_r02c01_grn.idat","5745976033_r02c01_red.idat"
"5745976038_R02C01","WG0117614.DNAC05",587661,"U2932","CellLine","WG0117614","5745976038_r02c01_grn.idat","5745976038_r02c01_red.idat"
"5745976040_R02C01","WG0117614.DNAC06",587669,"Dor13","CellLine","WG0117614","5745976040_r02c01_grn.idat","5745976040_r02c01_red.idat"
"5745976044_R02C01","WG0117614.DNAC07",587678,"OV90","CellLine","WG0117614","5745976044_r02c01_grn.idat","5745976044_r02c01_red.idat"
"5745976051_R02C01","WG0117614.DNAC08",587687,"TOV112D","CellLine","WG0117614","5745976051_r02c01_grn.idat","5745976051_r02c01_red.idat"
"5745976053_R02C01","WG0117614.DNAC09",587696,"HPAF II","CellLine","WG0117614","5745976053_r02c01_grn.idat","5745976053_r02c01_red.idat"
