[Header],,,,,,,,,,,
Institute Name,"BHK Lab",,,,,,,,,,
Investigator Name,Rene Quevedo,,,,,,,,,,
Project Name,InfiniumOmni2.5-8v1.3_A1,,,,,,,,,,
Date,5/30/2017,,,,,,,,,,
,,,,,,,,,,,
[Manifests],,,,,,,,,,,
A,InfiniumOmni2-5-8v1-3_A1,,,,,,,,,,
,,,,,,,,,,,
[Data],,,,,,,,,,,

Sample_ID,SentrixBarcode_A,SentrixPosition_A,File_ID
Unk286,6298021037,r04c01,_ega-box-147_6298021037_r04c01
Unk287,6298021040,r01c01,_ega-box-147_6298021040_r01c01
Unk288,6298021040,r02c01,_ega-box-147_6298021040_r02c01
Unk289,6298021040,r03c01,_ega-box-147_6298021040_r03c01
Unk290,6298021043,R01C01,_ega-box-147_6298021043_R01C01
Unk291,6298021043,R02C01,_ega-box-147_6298021043_R02C01
Unk292,6298021043,R03C01,_ega-box-147_6298021043_R03C01
Unk293,6298021043,R04C01,_ega-box-147_6298021043_R04C01
Unk294,6298021049,R01C01,_ega-box-147_6298021049_R01C01
Unk295,6298021049,R02C01,_ega-box-147_6298021049_R02C01
Unk296,6298021049,R03C01,_ega-box-147_6298021049_R03C01
Unk297,6298021049,R04C01,_ega-box-147_6298021049_R04C01
Unk298,6298021056,R02C01,_ega-box-147_6298021056_R02C01
Unk299,6298021056,R03C01,_ega-box-147_6298021056_R03C01
Unk300,6298021059,R01C01,_ega-box-147_6298021059_R01C01
Unk301,6298021059,R02C01,_ega-box-147_6298021059_R02C01
Unk302,6298021059,R03C01,_ega-box-147_6298021059_R03C01
Unk303,6298021059,R04C01,_ega-box-147_6298021059_R04C01
Unk304,6298021088,r01c01,_ega-box-147_6298021088_r01c01
Unk305,6298021088,r03c01,_ega-box-147_6298021088_r03c01
Unk306,6312937092,R01C01,_ega-box-147_6312937092_R01C01
Unk307,6312937092,R02C01,_ega-box-147_6312937092_R02C01
Unk308,6312937092,R03C01,_ega-box-147_6312937092_R03C01
Unk309,6312937092,R04C01,_ega-box-147_6312937092_R04C01
Unk310,6312937096,R01C01,_ega-box-147_6312937096_R01C01
Unk311,6312937096,R02C01,_ega-box-147_6312937096_R02C01
Unk312,6312937096,R03C01,_ega-box-147_6312937096_R03C01
Unk313,6312937096,R04C01,_ega-box-147_6312937096_R04C01
Unk314,6312937101,r01c01,_ega-box-147_6312937101_r01c01
Unk315,6312937101,r02c01,_ega-box-147_6312937101_r02c01
Unk316,6312937101,r03c01,_ega-box-147_6312937101_r03c01
Unk317,6312937101,r04c01,_ega-box-147_6312937101_r04c01
Unk318,6312945089,R01C01,_ega-box-147_6312945089_R01C01
Unk319,6312945089,R03C01,_ega-box-147_6312945089_R03C01
Unk320,6312945089,R04C01,_ega-box-147_6312945089_R04C01
Unk321,6312945090,R01C01,_ega-box-147_6312945090_R01C01
Unk322,6312945090,R02C01,_ega-box-147_6312945090_R02C01
Unk323,6312945090,R03C01,_ega-box-147_6312945090_R03C01
Unk324,6312945090,R04C01,_ega-box-147_6312945090_R04C01
Unk325,6317375001,r01c01,_ega-box-147_6317375001_r01c01
Unk326,6317375001,r02c01,_ega-box-147_6317375001_r02c01
Unk327,6317375001,r03c01,_ega-box-147_6317375001_r03c01
Unk328,6317375001,r04c01,_ega-box-147_6317375001_r04c01
Unk329,6317375044,r01c01,_ega-box-147_6317375044_r01c01
Unk330,6317375044,r02c01,_ega-box-147_6317375044_r02c01
Unk331,6317375044,r03c01,_ega-box-147_6317375044_r03c01
Unk332,6317375044,r04c01,_ega-box-147_6317375044_r04c01
Unk333,6317375045,R01C01,_ega-box-147_6317375045_R01C01
Unk334,6317375045,R02C01,_ega-box-147_6317375045_R02C01
Unk335,6317375045,R03C01,_ega-box-147_6317375045_R03C01
Unk336,6317375045,R04C01,_ega-box-147_6317375045_R04C01
Unk337,6317375061,r02c01,_ega-box-147_6317375061_r02c01
Unk338,6317375065,R01C01,_ega-box-147_6317375065_R01C01
Unk339,6317375065,R02C01,_ega-box-147_6317375065_R02C01
Unk340,6317375065,R03C01,_ega-box-147_6317375065_R03C01
Unk341,6317375065,R04C01,_ega-box-147_6317375065_R04C01
Unk342,6317375069,r02c01,_ega-box-147_6317375069_r02c01
Unk343,6317375069,r03c01,_ega-box-147_6317375069_r03c01
Unk344,6317375069,r04c01,_ega-box-147_6317375069_r04c01
Unk345,6317375082,R01C01,_ega-box-147_6317375082_R01C01
Unk346,6317375082,R02C01,_ega-box-147_6317375082_R02C01
Unk347,6317375082,R03C01,_ega-box-147_6317375082_R03C01
Unk348,6317375082,R04C01,_ega-box-147_6317375082_R04C01
Unk349,6317375083,r01c01,_ega-box-147_6317375083_r01c01
Unk350,6317375083,r02c01,_ega-box-147_6317375083_r02c01
Unk351,6317375083,r03c01,_ega-box-147_6317375083_r03c01
Unk352,6317375083,r04c01,_ega-box-147_6317375083_r04c01
Unk353,6317375087,R01C01,_ega-box-147_6317375087_R01C01
Unk354,6317375087,R02C01,_ega-box-147_6317375087_R02C01
Unk355,6317375087,R04C01,_ega-box-147_6317375087_R04C01
Unk356,6317375089,r01c01,_ega-box-147_6317375089_r01c01
Unk357,6317375089,r02c01,_ega-box-147_6317375089_r02c01
Unk358,6317375089,r03c01,_ega-box-147_6317375089_r03c01
Unk359,6317375089,r04c01,_ega-box-147_6317375089_r04c01
Unk360,6317375090,r02c01,_ega-box-147_6317375090_r02c01
Unk361,6317375090,r03c01,_ega-box-147_6317375090_r03c01
Unk362,6317375090,r04c01,_ega-box-147_6317375090_r04c01
Unk363,6317375095,r01c01,_ega-box-147_6317375095_r01c01
Unk364,6317375095,r02c01,_ega-box-147_6317375095_r02c01
Unk365,6317375095,r03c01,_ega-box-147_6317375095_r03c01
Unk366,6317375095,r04c01,_ega-box-147_6317375095_r04c01
Unk367,6317375096,r02c01,_ega-box-147_6317375096_r02c01
Unk368,6317375096,r03c01,_ega-box-147_6317375096_r03c01
Unk369,6317375096,r04c01,_ega-box-147_6317375096_r04c01
Unk370,6317375105,r01c01,_ega-box-147_6317375105_r01c01
Unk371,6317375105,r02c01,_ega-box-147_6317375105_r02c01
Unk372,6317375105,r03c01,_ega-box-147_6317375105_r03c01
Unk373,6317375105,r04c01,_ega-box-147_6317375105_r04c01
Unk374,6317375106,R01C01,_ega-box-147_6317375106_R01C01
Unk375,6317375106,R02C01,_ega-box-147_6317375106_R02C01
Unk376,6317375106,R03C01,_ega-box-147_6317375106_R03C01
Unk377,6317375106,R04C01,_ega-box-147_6317375106_R04C01
Unk378,6317375107,r01c01,_ega-box-147_6317375107_r01c01
Unk379,6317375107,r02c01,_ega-box-147_6317375107_r02c01
Unk380,6317375107,r03c01,_ega-box-147_6317375107_r03c01
Unk381,6317375107,r04c01,_ega-box-147_6317375107_r04c01
Unk382,6317375111,R02C01,_ega-box-147_6317375111_R02C01
Unk383,6317375111,R03C01,_ega-box-147_6317375111_R03C01
Unk384,6317375111,R04C01,_ega-box-147_6317375111_R04C01
Unk385,6317383018,r01c01,_ega-box-147_6317383018_r01c01
Unk386,6317383018,r02c01,_ega-box-147_6317383018_r02c01
Unk387,6317383018,r03c01,_ega-box-147_6317383018_r03c01
